,_id,title,text,rating,reviewer_handle,language,airline_name,flight_date,flight_connection,flight_type,booking_class
0,XINCSroE,,"Kann ich nur weiterempfehlen mit der Airline zu fliegen. Essen, Service und freundlichkeit alles Top",5.0,,,Singapore Airlines,,,,
1,uL0acmNo,,"Prinzipiell war der Flug samt Airline jetzt nicht unbedingt der schlechteste, den man sich vorstellen kann. Aber von einer Fluggesellschaft, die sich ganz bescheiden auch selbst als beste Airline der Welt bezeichnet, erwarte ich irgendwie mehr.

1. Die Sitzabstände in der Holzklasse sind doch sehr gering. Das können andere Airlines auch in der Economy Class deutlich besser. Mir ist eigentlich noch gar keine Linie untergekommen, bei der ich Platzprobleme hatte, selbst in den kleinsten Maschinen, die mann schon als ""Schüttel"" bezeichnen kann, trat das Problem auf.
2. Der Online-Check-In hat bei allen Reisenden offensichtlich nicht geklappt, obwohl man ja trotzdem am Schalter noch einmal gescannt wurde. Es wurden vor dem eigentlichen Boarden unzählige Passagiere noch einmal an den Schalter aufgerufen, weil diese wohl nicht eingecheckt waren.
3. Es war nicht möglich, die Option Rail-and-Fly nachzubuchen. Auch hier kann ich nur sagen: das bekommen sogar schlechtere Airlines problemlos hin.
4. Das Filmangebot in Deutsch war sehr bescheiden. Jetzt kann natürlich argumentiert werden, dass es sich um keine deutsche Airline handelt. Aber komischerweise haben andere Fluglinien, die weder von der Fluggesellschaft noch von der Route etwas mit Deutschland zu tun haben, deutlich mehr Filme auf deutsch zur Verfügung.

Es mögen alles Kleinigkeiten sein, auf die es nicht ankommt. Aber wenn immer wieder behauptet wird, irgend etwas sei das beste der Welt, dann erwarte ich auch, dass solche Kleinigkeiten stimmen.

Es ist sehr unwahrscheinlich, dass wir nochmals diese Airline wählen.",3.0,,,Singapore Airlines,,,,
2,EBfj7sOP,,"Wir sind von SIN AKL (B777-300 ER) in eco geflogen. Check in und Boarding schnell, freundlich und freundlich. Alte Maschine, Sitze und Beinfreiheit gut. Das PE ist groß, umfangreich und gut zu bedienen. ‬
‪Das Flugpersonal war wie immer extrem freundlich und zuvorkommend. Getränke reichlich und leckeres Essen mit leckeren Snacks zwischendurch und lecker Eis. ‬
‪Für den langen Flug und den eco Preis einfach klasse. Sehr zu empfehlen!‬",5.0,,,Singapore Airlines,,,,
3,OLjtd8uO,,"Wir sind von MUC SIN (A350-9) in eco geflogen. Check in und Boarding schnell, freundlich und freundlich. Neue Maschine, gute Sitze und Beinfreiheit. Das PE ist groß, umfangreich und gut zu bedienen. ‬
‪Das Flugpersonal war wie immer extrem freundlich und zuvorkommend. Getränke reichlich und leckeres Essen das mit den Snacks für zwei Flüge gereicht hätte. Die Sitznachbarin bekam zu Geburtstag ein Ständchen inkl. Kuchen und Champagner. ‬
‪Allein, manchmal war der Service etwas überraschend. Drei Trolleys in einer Reihe die wild zwischen den Sitzreihen hin und her bedienten. Tut dem Spaß aber keinen Abbruch. ‬
‪Für den langen Flug und den eco Preis einfach klasse. Sehr zu empfehlen!‬",5.0,,,Singapore Airlines,,,,
4,7g7NBwTZ,,"Mein Sitzplatz war 45H in der Economy - im preferred-Bereich. Und was war? Mitten im Steigflug tropfte es mir plötzlich massiv auf die rechte Schulter! Erst dachte ich, dass irgendetwas im Overhead-Compartment auslief - aber nein, es war die Klimaanlage, die tropfte! Nach beendetem Steigflug und einer nassen Schulter bzw. nassem Shirt wendete ich mich an die Crew. Diese rannte dann aufgeregt hin und her - konnte aber nichts anderes sagen, als: sorry - it will be over soon ...
Toll! Es war mitnichten over - als wir die Reiseflughöhe erreicht hatten, tropfte es zwischen meinen Sitznachbarn, also zwischen 45I und 45K weiter.
Es handelte sich um einen A380 - wahrscheinlich der erste ausgelieferte überhaupt.
Die Crew beteuerte, das sei erstmals aufgetreten: wer's glaubt! Die Crew wechselt natürlich bei jedem Flug, und so kann die Crew immer glaubhaft versichern, dass das so noch nie aufgetreten sei ...
Unverschämt!!!
Der Service war ebenfalls mangelhaft!
Bei einem 12,5 Std-Flug ist es mir unverständlich, warum es über 2 Stunden lang nach dem Start keinen Service gibt.
Dann kam der Essens- und Trinkens-Service gleichzeitig.
Die Tatsache, dass vor dem Essen keine Getränke-Runde mehr absolviert wird, ist doch reine Sparmaßnahme - ebenfalls unverschämt: da lobe ich mir doch die Lufthansa!!!

Die Qualität des Essens war sehr mäßig - ich verstehe nicht, woher SIA die Top-Bewertungen hat???",2.0,,,Singapore Airlines,,,,
5,F3TIXILg,,"Ich verstehe nicht, wie man SIA top bewerten kann. Meine Erfahrung bei dem genannten Flug war folgende:
Der Flug von Frankfurt nach Singapore dauert 12 Stunden. In der Premium Economy gab es 45 Min nach dem Start einen Schluck schrecklichen Champagner (weiß nicht, wo man so ein Gesöff überhaupt bekommt) im Plastikbecher!!!
Die vorbestellten Essen wurden dann kommentarlos verteilt - ohne dass auch nur ein Schluck Getränk dazu angeboten wurde: ein No-Go!
Getränke gab es dann erst mit dem Normalo-Wagen der Economy - wie blöd ist das denn?",2.0,,,Singapore Airlines,,,,
6,XK5qJ4XJ,,Sind von Zürich aus nach Singapur geflogen. Tolle App mit Infos im Voraus. Online check in war perfekt. Service während der ganzen Strecke vorzüglich. Essen lecker. Beinfreiheit sehr gut. Sehr gerne wieder.,5.0,,,Singapore Airlines,,,,
7,q8WBcVSa,,"Wir haben auf der offiziellen site von SingaporeAir einen Businessflug von Frankfurt nach Surabaya gebucht. Dabei haben wir uns natürlich von den Abflugzeiten und den Preisen leiten lassen. Für den Rückflug haben wir 7 Tage Stopover vorgesehen. Dieses Angebot können wir jetzt leider nicht nutzen, da der Rückflug durch Lufthansa durchgeführt wird. Dies ist uns erst aufgefallen, als wir erfahren mussten, dass das Stopover an den Flug mit SIA gebunden ist. Dass der Hinflug mit SIA läuft und alles auf der SIA site gebucht wurde spielt keine Rolle (O-Ton SIA Deutschland). Sehr ärgerlich zumal wir keinen entsprechenden Hinweis gesehen haben. Jetzt machen wir das Beste daraus und verlagern die Zeit nach Malaysia. Und es bleibt ein schlechter Eindruck zurück obwohl ich bisher immer größer Fan von SIA war. Schade. Jeder arbeitet an seinem Image so gut er kann. Bei uns bleibt Enttäuschung zurück.",1.0,,,Singapore Airlines,,,,
8,TOYitnt5,,"Sehr angenehmer Flug mit dem A380 von FRA nach SIN, von da aus ging es mit einem kleineren Flugzeug nach CMB. Die Vorzüge des Großraumjets, sowie das sehr aufmerksame und freundliche Personal hat den Flug sehr erträglich gemacht.

Man sollte umbedingt darauf achten, welche Airline den Flug ausführt!!! Der Rückflug mit SINGAPORE AIRLINES wurde von Lufthansa ausgeführt (auch A380) und war tatsächlich eine Ernüchterung!",4.0,,,Singapore Airlines,,,,
9,vJ44YXe4,,"Insgesamt haben wir uns deutlich mehr erhofft, als wir tatsächlich erhalten haben. Insbesondere die Beinfreiheit ist ein Witz, wenn der Vordermann den Sitz zurūckklappt. Wenn meine Ehefrau von ihrem Sitz am Fenster auf den Gang wollte, war das nur mit erheblichen körperlichen Verrenkungen möglich. Das Essen hat uns auch nicht überzeugt, der Unterschied zu dem in der Economy erscheint mir eher geringfügig. Die Weine würde ich zuhause nicht trinken, der Champagner allein reisst es dann auch nicht heraus. Die Toiletten dūrfen nur in der Economy Class benutzt werden und waren auf dem Hinflug nach Singapore in den letzten Stunden zum Teil in einem jämmerlichen Zustand.
Das Servicepersonal ist überdurchschnittlich freundlich und kompetent. Auch die Meilengutschrift ist sehr ordentlich.
Fazit: Der Preis Unterschied zur Economy Class ist aus meiner Sicht nicht gerechtfertigt, insbesondere was den Sitzkomfort angeht, schon gar nicht bei einem 13stūndigen Nachtflug.",2.0,,,Singapore Airlines,,,,
