,_id,title,text,rating,reviewer_handle,language,flight_date,flight_connection,flight_type,booking_class
0,iExXrREr,0 STERNE VERDIENT,"Sind am 14.09.2023 von Graz nach Hawaii geflogen.
Flugverspätung, schlafen am Flughafen, Ankunft am Reiseziel erst am Tag darauf. Kofferverlust, welcher angeblich noch immer gesucht wird. Schlechtesters Kundenservice überhaupt. Was soll man da noch mehr sagen? Ich würde so sehr von dieser AIRLINE ABRATEN. Werden nun unseren Rechtsschutz aktivieren und alles über einen Anwalt laufen lassen.",1.0,,,September 2023,Graz - Honolulu,,
1,EI0QGGJe,Lebensmittel werden weggeworfen anstatt sie anzubieten,"Leider lässt sich beobachten, wie nach und nach mehr gespart wird. Hinflug mit United: Freundliches Personal, deutlich mehr Auswahl bei den Getränken und diese dauerhaft verfügbar.
Rückflug mit Lufthansa: Das Personal hat sich offenbar gestritten, die ganze Zeit in unangenehmen Ton miteinander gesprochen und kein Lächeln hinbekommen. Nach der Essens- und Getränkerunde wollte ich in der Küche nach einem Bier fragen. Die Stewardess sagte, die Bar sei jetzt geschlossen. Dabei schüttete sie den Inhalt einer Sektflasche in den Müll. Bei einem Flug, bei dem alkoholfreie Getränke und auch Bier und Wein inklusive sind, wird eine „Schließung“ der Bar nicht kommuniziert und „Reste“ weggeworfen anstatt sie anzubieten.

Noch vor ein paar Jahren standen Weinflaschen den ganzen Flug über parat.",2.0,,,Oktober 2023,Washington DC - Frankfurt,,
2,Ugx2jALg,Ohne Einschaltung eines Anwaltes werden Fluggastrechte vollständig ignoriert.,"Bereits zu Zeiten von Corona musste ich einen Anwalt einschalten, um die Rückerstattung meines Tickets nach 3 Monaten zu erhalten. Bei unserem Flug von München nach Okinawa im März diesen Jahres hatten wir mehr als 4 Stunden Verspätung. Auch hier wurde die Entschädigung von 600,- Euro pro Person erst nach Einschaltung eines Anwalts und Androhung eines Gerichtsverfahrens erstattet. So kann man nicht mit den Kunden umgehen. Ich werde zukünftig die Lufthansa meiden, wann immer es möglich ist.",1.0,,,März 2023,Munich - Okinawa City,,
3,Dl3qNyk9,Lufthansa ist bei Inkompetenz die Nummer eins,"Flug verspätet
Koffer nicht dabei
Hotline inkompetent da ich die Auskunft bekam ihr Gepäck ist durchgecheckt bis Santa Marta
Natürlich ist dem nicht so gewesen",1.0,,,September 2023,Frankfurt - Amsterdam,,
4,oxQw7BPJ,Sehr schöner Flug mit gratis Wasser und toller Crew mit ordentlichem Fluggerät,"Alles Top. Sehr ruhiger Flug, nette Crew, viele Infos durch die Piloten, sogar gratis Wasser und für jeden eine Schoki. Fluggerät top sauber und guter Beinabstand. Immer wieder. Ihr seid Top!",5.0,,,September 2023,Munich - Rhodes,,
5,2Jpf9bDQ,Bei Abbuchung sehr schnell,"Der Bangkok Flug nach Deutschland wurde gestrichen. Wir wurden 2 Tage später auf einer Eurowings Flug von Bangkok umgebucht und auch dieser Flug fand nicht statt. Wir wurden über diese Annullierungen nie informiert,die Buchung wurde sofort abgebucht und nun warten wir schon zwei Monate auf unsere Rückerstattung. Auf Anfragen reagiert sie nicht! Lufthansa zeigt in schlechten Zeiten ihr wahres Gesicht, wenn ich es vermeiden kann, werde ich diese Airline in Zukunft vermeiden.",1.0,,,März 2020,Bangkok - Berlin,,
6,uSlcqa9b,Totales Chaos bei der Gepäckausgabe,"Mit dem Flug an sich war alles in Ordnung, aber die Gepäckausgabe war sehr schlecht organisiert. Nach langen warten kamen die letzen Gepäckstücke aber mein Koffer so wie der von ca 15 weiteren Personen war nicht dabei. Als das Gepäckband dann stoppte fragten wir beim Serviceschalter nach wo wir informiert wurden dass alle die ein Anschlussflug oder Zug mitgebucht haben das Gepäck Kim einer anderen Halle abholen müssen. Als wir die besagte Halle gefunden hatten mussten wir nochmals lange warten bis unser Gepäck endlich ankam. Mein Anschlusszug war bis dahin aber weg. Diese Prozedur sei wohl normal, einen Sinn haften Grund sehe ich dafür allerdings nicht. Da machen andere Airlines einen deutlich besseren Job.",2.0,,,Mai 2020,London - Frankfurt,,
7,X00u6z6R,Schlechtester Kunden-Service ever,"Die Lufthansa verspricht viel, hält aber wenig. Auf Grund der Pandesmie wurde mein Flug storniert und auf die Rückerstattung warte ich schon seit mehr als 2 Monate. Bei Emirates war eine Rückerstattung bequem per Onlineformular anzumelden und innerhalb von 3 Wochen war eine volle Erstattung möglich. Als Passagier ist man der Lufthansa nichts wert, kommt gar nicht erst durch beim Service-Center und begegnet purerArroganz.",1.0,,,März 2020,Frankfurt - Zurich,,
8,y9jZ8wcW,Unfähig,Personal war freundlich und alles lief trotz Corona bis zur Landung normal. Dann kam die gesamte Unfähigkeit zum tragen. Der Flieger wurde nicht am Terminal in Frankfurt abgefertigt. Sondern es musste (obwohl wegen Corona praktisch kein Flugverkehr herrscht) über den Hintereingang ausgestiegen werden und dann erfolgte der Abtransport in Bussen. Man hatte nicht genügend Busse. So musste man noch ewig auf die Busse warten. Eine Frechheit war die Ausrede des Kapitäns. Wir sind zu früh gelandet und unser Gate war besetzt. Ich stelle leider fest das wir pünktlich gelandet sind. Dumme ausreden.,2.0,,,Mai 2020,Hamburg - Frankfurt,,
9,SYQ0AJ1v,Unverschämt,"Ich Meine Reise kosten nach Stornierung von 22.03.2020 immer noch bekommen. telefonische Gespräch und Email schicken hat auch nicht geholfen. Beim Kaufen von Ticket, warten die kein min, dass das Geld zu bekommen aber bei zurück Gabe des Geldes müssen wir Monaten lang warten. Unverschämtheit. wir werden nie mehr mit Lufthansa fliegen und ich empfehle meine Bekanten und freunde die gleiche und ich erzähle von mein erfahren.",1.0,,,April 2020,Frankfurt - Washington DC,,
10,HIhU3HIz,Bei Abbuchung sehr schnell,"Der Bangkok Flug nach Deutschland wurde gestrichen. Wir wurden 2 Tage später auf einer Eurowings Flug von Bangkok umgebucht und auch dieser Flug fand nicht statt. Wir wurden über diese Annullierungen nie informiert,die Buchung wurde sofort abgebucht und nun warten wir schon zwei Monate auf unsere Rückerstattung. Auf Anfragen reagiert sie nicht! Lufthansa zeigt in schlechten Zeiten ihr wahres Gesicht, wenn ich es vermeiden kann, werde ich diese Airline in Zukunft vermeiden.",1.0,,,März 2020,Bangkok - Berlin,,
11,sOEhKl18,Totales Chaos bei der Gepäckausgabe,"Mit dem Flug an sich war alles in Ordnung, aber die Gepäckausgabe war sehr schlecht organisiert. Nach langen warten kamen die letzen Gepäckstücke aber mein Koffer so wie der von ca 15 weiteren Personen war nicht dabei. Als das Gepäckband dann stoppte fragten wir beim Serviceschalter nach wo wir informiert wurden dass alle die ein Anschlussflug oder Zug mitgebucht haben das Gepäck Kim einer anderen Halle abholen müssen. Als wir die besagte Halle gefunden hatten mussten wir nochmals lange warten bis unser Gepäck endlich ankam. Mein Anschlusszug war bis dahin aber weg. Diese Prozedur sei wohl normal, einen Sinn haften Grund sehe ich dafür allerdings nicht. Da machen andere Airlines einen deutlich besseren Job.",2.0,,,Mai 2020,London - Frankfurt,,
12,rfq0FkHs,Schlechtester Kunden-Service ever,"Die Lufthansa verspricht viel, hält aber wenig. Auf Grund der Pandesmie wurde mein Flug storniert und auf die Rückerstattung warte ich schon seit mehr als 2 Monate. Bei Emirates war eine Rückerstattung bequem per Onlineformular anzumelden und innerhalb von 3 Wochen war eine volle Erstattung möglich. Als Passagier ist man der Lufthansa nichts wert, kommt gar nicht erst durch beim Service-Center und begegnet purerArroganz.",1.0,,,März 2020,Frankfurt - Zurich,,
