,_id,title,text,rating,reviewer_handle,language,airline_name,flight_date,flight_connection,flight_type,booking_class
0,DiTsSulR,0 STERNE VERDIENT,"Sind am 14.09.2023 von Graz nach Hawaii geflogen.
Flugverspätung, schlafen am Flughafen, Ankunft am Reiseziel erst am Tag darauf. Kofferverlust, welcher angeblich noch immer gesucht wird. Schlechtesters Kundenservice überhaupt. Was soll man da noch mehr sagen? Ich würde so sehr von dieser AIRLINE ABRATEN. Werden nun unseren Rechtsschutz aktivieren und alles über einen Anwalt laufen lassen.",1.0,,,Lufthansa,September 2023,Graz - Honolulu,,
1,0SaMWbEX,Lebensmittel werden weggeworfen anstatt sie anzubieten,"Leider lässt sich beobachten, wie nach und nach mehr gespart wird. Hinflug mit United: Freundliches Personal, deutlich mehr Auswahl bei den Getränken und diese dauerhaft verfügbar.
Rückflug mit Lufthansa: Das Personal hat sich offenbar gestritten, die ganze Zeit in unangenehmen Ton miteinander gesprochen und kein Lächeln hinbekommen. Nach der Essens- und Getränkerunde wollte ich in der Küche nach einem Bier fragen. Die Stewardess sagte, die Bar sei jetzt geschlossen. Dabei schüttete sie den Inhalt einer Sektflasche in den Müll. Bei einem Flug, bei dem alkoholfreie Getränke und auch Bier und Wein inklusive sind, wird eine „Schließung“ der Bar nicht kommuniziert und „Reste“ weggeworfen anstatt sie anzubieten.

Noch vor ein paar Jahren standen Weinflaschen den ganzen Flug über parat.",2.0,,,Lufthansa,Oktober 2023,Washington DC - Frankfurt,,
2,1TepQUyK,Ohne Einschaltung eines Anwaltes werden Fluggastrechte vollständig ignoriert.,"Bereits zu Zeiten von Corona musste ich einen Anwalt einschalten, um die Rückerstattung meines Tickets nach 3 Monaten zu erhalten. Bei unserem Flug von München nach Okinawa im März diesen Jahres hatten wir mehr als 4 Stunden Verspätung. Auch hier wurde die Entschädigung von 600,- Euro pro Person erst nach Einschaltung eines Anwalts und Androhung eines Gerichtsverfahrens erstattet. So kann man nicht mit den Kunden umgehen. Ich werde zukünftig die Lufthansa meiden, wann immer es möglich ist.",1.0,,,Lufthansa,März 2023,Munich - Okinawa City,,
3,t08RfS29,Lufthansa ist bei Inkompetenz die Nummer eins,"Flug verspätet
Koffer nicht dabei
Hotline inkompetent da ich die Auskunft bekam ihr Gepäck ist durchgecheckt bis Santa Marta
Natürlich ist dem nicht so gewesen",1.0,,,Lufthansa,September 2023,Frankfurt - Amsterdam,,
4,6UH730XV,Sehr schöner Flug mit gratis Wasser und toller Crew mit ordentlichem Fluggerät,"Alles Top. Sehr ruhiger Flug, nette Crew, viele Infos durch die Piloten, sogar gratis Wasser und für jeden eine Schoki. Fluggerät top sauber und guter Beinabstand. Immer wieder. Ihr seid Top!",5.0,,,Lufthansa,September 2023,Munich - Rhodes,,
5,XhkeiVii,Lufthansa? Ein Paradebeispiel der *UNZUVERLÄSSIGKEIT*,Wir wurden trotz gebuchten Flug mit reservierten Plätzen nicht befördert. Der Flug hatte sogar Verspätung und der nächste Flug wurde auch nicht angeboten. Wir mußten somit 7Std. warten. Aus Kanada kommend waren wir am ENDE unserer Kräfte.,1.0,,,Lufthansa,September 2023,Frankfurt - Hannover,,
6,P3MahjDN,Fusionsvorschlag: DB Lufthansa AG,"Online Checkin funktioniert nicht, es wird einem auch gar nicht geholfen, lediglich ein Livechat ist verfügbar, es ist halt so, bekommt man als Antwort, für manche Passagiere an manchen Flughäfen wäre das zufälligerweise so. Man gibt mir desweiteren zu verstehen, dass ja bereits alles ausgestellt sei, lediglich der Checkin fehlen würde, diesen könnte ich doch am Flughafen vorort machen, ich solle mich nicht so anstellen.
Lufthansa sollte mit der DB fusionieren, die würden erst einmal schön rationalisieren und sich fortan DB Lufthansa AG nennen, das wäre der richtige Deckel zum Topf.
Mit noch weniger Personal und noch mehr nicht funktionierender Technik könnte man noch einmal richtig durchstarten.",1.0,,,Lufthansa,September 2023,Istanbul - Frankfurt,,
7,Y7lmVt0X,Unverschämte Behandlung bei den Servicelines,"Sehr geehrte Damen und Herren,

ich schreibe dies, da ich da ich furchtbaren Erfahrungen mit Callcenter-Agenten (und Supervisorn) der Lufthansa machte.
Alles begann im Herbst 2022, als ich einen Gabelflug in die USA (München-Las Vegas, San Diego-München) umbuchen wollte auf einen Flug nach Australien im August 2023 (München-Cairns, Sydney-München). Beim Eintragen meiner Kreditkartendaten machte der Agent einen Fehler und das Geld (die neuen Tickets waren teurer) wurde nicht von unserem Konto abgebucht, Da wir zu dieser Zeit große Kontobewegungen hatten, bemerkten wir dies nicht. Da der Agent sehr unsicher schien, rief ich allerdings noch zweimal bei der Hotline an und bekam immer wieder die Versicherung, es sei alles in Ordnung und es gebe keinen Grund weshalb wir nicht fliegen könnten.
Im Sommer 2023 stellte ich durch Zufall fest, dass unsere Flüge storniert wurden (da sie ja nicht bezahlt worden waren). Ich buchte also teurere, schlechtere Flüge über eine andere Fluggesellschaft und bekam von Lufthansa lediglich 200,- Euro und die Versicherung, ich könne meine Flüge in der Zukunft nutzen und noch einmal kostenlos umbuchen.
Im September 2023 wollte ich nun tatsächlich diese Flüge auf einen Australienflug im Sommer 2024 umbuchen. Was ich dann an den Hotlines (normal und FQT-Nummer) erlebte, ist beispiellos. Zunächst bekam ich die Auskunft, ich dürfe die Flüge nur auf Amerika-Flüge umbuchen. Der Supervisor erklärte mir, ich dürfe nur Lufthansaflüge benutzen, keine andere (Code-Shared) Airline. Außerdem solle ich besser Customer Relation per Mail kontaktieren. Die wüssten mehr. Er wollte mich wohl einfach loswerden… Eine Reaktion von Customer Relation kommt ja bekanntlich erst nach 6-8 Wochen, ich warte immer noch darauf. Ich bekam die Auskunft, es sei besser, die Flüge zu stornieren und neu zu buchen. Das könne aber nur Customer Relations entscheiden. Ich bekam auch von einem Supervisor den Rat, mir einen Anwalt zu nehmen und das Geld zurück zu fordern, da der Fehler ja eindeutig bei Lufthansa lag.
Ein Agent sagte mir, ich würde ihn von der Arbeit abhalten, da er mir nicht helfen könne. Die Flüge seien NICHT umbuchbar auf Australienflüge und er müsse jetzt das Gespräch beenden. Daraufhin flog ich aus der Leitung. Ich bin tatsächlich mindestens 15 Mal aus der Leitung geworfen worden. Entweder war das Gespräch zu Ende, wenn ich nach dem Namen des Agenten fragte oder spätestens, wenn in die Buchung geschaut wurde. Es kann sein, dass es mal technische Probleme gibt, aber bei 15-20 Mal gehe ich von Vorsatz aus.
Inzwischen weiß ich, dass die Agenten und Supervisor mich einfach los haben wollte. Ich bekam jedes Mal einen anderen Grund genannt, warum die Flüge nicht umgebucht werden könnten. Einmal wurde mir gesagt, bei einer Umbuchung müsse ich 8.000,- EUR (!) pro Person dazubezahlen! Das wurde wohl gesagt, um mich abzuschrecken, es waren am Ende 800,- EUR pro Person.
Als Kunde hatte ich keine Möglichkeit, meine Flüge zu buchen, obwohl jeder Agent und jeder Supervisor bestätigte, dass bei Lufthansa der Fehler passiert war. Ich habe bestimmt 20 Stunden mit den Hotlines telefoniert, da mir bewusst ist, dass sich ein Rechtsstreit über Jahre hinzieht. Ein paar Namen habe ich dann doch herausgebracht: Frau Telia, Frau Torsten. Frau Oscewski. Wer in meine Buchung schaut, wird noch mehr Namen finden. Ich hoffe, dass Remarks hinterlassen wurden. Ich habe aber auch erlebt, dass mir versichert wurde, ich dürfe kostenlos stornieren und neu buchen. Dies wäre schriftlich bei den Remarks hinterlegt. Der nächste Agent sagte, in meiner Buchung würde NICHTS davon stehen. Ich weiß bis heute nicht, wer gelogen hat! Ein Agent sagte mir tatsächlich, ich solle keinem Mitarbeiter der Hotlines glauben, diese würden häufig lügen.
Besonders schlimm war das Telefonat mit Frau Oscewski. Als ich auf meinem Recht beharrte, die Flüge umzubuchen, giftete sie mich an, ich dürfe nicht nach Australien fliegen. Sie sagte in einem wirklich unfreundlichen Tonfall, dies hätte man mir schon mehrmals gesagt (was nicht stimmte) und ich solle es endlich glauben. Sie würde dies noch ein letztes Mal in die Remarks schreiben. Ich fühlte mich, wie ein Schulkind, das etwas falsch gemacht hatte. Tatsächlich telefonierte ich mit Lufthansa und wollte nur mein Recht durchsetzen. Ich bin schließlich bezahlender Kunde! Als ich daraufhin bat, mit dem Supervisor verbunden zu werden, sagte Frau Oscewski zu mir, der Supervisor würde nicht mit Endkunden reden. Das ist für mich Arbeitsverweigerung. Was macht ein Supervisor der Hotline, wenn er nicht für die Kunden zuständig ist???
Ein Telefonat habe ich dann tatsächlich als Beweis aufgenommen und stelle diese Audiodatei gerne der Lufthansa zur Verfügung. Ich wurde dabei wieder aus der Leitung geworfen, sobald der Herr in die Buchung sah. Dies passierte an dem Abend 6 (!) Mal nacheinander Immer in dem Moment, wenn in die Buchung geschaut wurde oder wenn ich nach dem Namen fragte) weshalb ich nicht an ein technisches Problem glaube.
Ich fühle mich in dieser Geschichte wirklich schlecht behandelt! Der Fehler lag klar bei Lufthansa (was mir alle Agenten bestätigten), ich wurde aber durchgehend wie ein Bittsteller behandelt. Ich dachte ursprünglich, Lufthansa sei eine zuverlässige, freundliche Airline, machte aber gegenteilige Erfahrungen. Es war mir als Kunde fast nicht möglich, zu meinem Recht zu kommen und ich musste mir am Telefon viele Unfreundlichkeiten und Lügen gefallen lassen. Als Kunde ist man aber ausgeliefert und es bleibt dann leider nur der Weg über den Anwalt.
Durch Zufall geriet ich dann an einen hilfsbereiten Mitarbeiter und nach einem weiteren Abend (20:00-0:30 Uhr) am Telefon hatte ich meine Umbuchung mit 800,- EUR Aufzahlung pro Person. Frau Daniela Becker buchte die Flüge dann nach einiger Überzeugungsarbeit von mir endgültig nachts um 0:30 Uhr ein und sagte dazu : „Da muss man ja Jura studiert haben, um dies hinzubekommen.“ Entweder sind die Prozesse bei Lufthasa so kompliziert oder die Mitarbeiter sind so schlecht geschult. Aber als zahlender Kunde finde ich nicht, dass ich so viele Stunden am Telefon verbringen soilte, nur um eine Umbuchung vorzunehmen. Im Gegentei, da der Fehler ja von einem Lufthansamitarbeiter gemacht wurde, hätte man mir deutlich freundlicher und entgegenkommender begegnen können. Für all diesen Ärger und vor Allem all diese Zeit am Telefon habe ich weder eine Entschuldigung, noch eine Entschädigung von Lufthansa bekommen!",1.0,,,Lufthansa,Oktober 2022,Munich - Las Vegas,,
8,02KNTGj6,Angenehmer Flug,Der Flug war sehr angenehm. Das Personal sehr nett - der Service sehr gut - gerne wieder :-) -,5.0,,,Lufthansa,Mai 2023,Frankfurt - Brussels,,
9,pMJHtlrk,Servicekatastrophe,"Auf unserem Rückflug aus China, der über AirChina (Allianzpartner) abgewickelt wurde, stellte sich heraus, dass Lufthansa meinen Namen unvollständig an AirChina übermittelt hat. Da stand ich also ohne Sprachkenntnisse in China und hatte quasi kein Rückflugticket. Die Daten konnten dann dank Hilfe doch noch gefunden werden und dabei hieß es, das passiere mit Lufthansa häufiger.
Auch der Online-Check-in funktionierte für mich und meine (korrekt registrierte) Reisebegleitung nicht.
Wer also einen sicheren Rückflug haben möchte, sollte nicht mit der Lufthansa fliegen.

P.S.: Lufthansa hat für Economy-Kunden schlecht funktionierende Gepäckannahme-Automaten eingeführt. Bei einem Ticketpreis von über 1.000 Euro ist das ziemlich traurig...",1.0,,,Lufthansa,September 2023,Frankfurt - Beijing,,
