,_id,title,text,rating,reviewer_handle,language,airline_name,flight_date,flight_connection,flight_type,booking_class
0,GFaWXvl6,,"Als wir am Flughafen in Bangor einchecken wollten, wurde uns mitgeteilt, dass wir unser Gepäck nicht kostenlos aufgeben können. Auf unseren Tickets stand jedoch ganz offensichtlich, dass es inklusive wäre. Nach langen Diskussionen haben wir dann bezahlt, (über 200 USD) weil sie sonst unser Gepäck tatsächlich nicht mitgenommen hätten. Alle Flüge haben wir über Lufthansa gebucht, doch diese entziehen sich leider jeglicher Verantwortung. Eine Frechheit",1.0,,,Singapore Airlines,,,,
1,Wp22ia89,,"Hinflug war Lufthansa (Service u. Komfort wirklich prima) direkt von Frankfurt nach San Jose, zurück mit United als Star Alliance Partner über NY Newark dagegen richtig schlecht. Beim Checkin gab es einen Securitycheck des Aufgabegepäcks -> Koffer aufmachen … O.K. die inzw. übernervösen Amis eben …
Von 2 elektr. Zahnbürsten sollen wir 1 wg. der Sicherheitsregeln ins Handgepäck tun, die andere nicht, muss man verstehen. Richtig durchgeschaut wurde der Koffer auch nicht. Wäre wirklich etwas Gefährliches drin gewesen, hätte man es so lax sicher nicht gefunden. Beim Bording wurde dann das Hansdgepäck noch mal extra angeschaut u. moniert, dass die elektr. Zahnbürste wg. der metallischen Spitze doch gefälligst ins Aufgabegepäck gehört. Dazu werden minutenlang total dünne weiche Flipflops nach verborgenen Waffen untersucht und Sprengstoffspurentests an dem am Flughafen noch gekauftem Kaffee gemacht. Das United-Personal befolgt da irgendwelche widersprüchlichen u. unsinnigen. Regeln, die sie selbst nicht begreifen. Umsteigezeit in Newark ca. 1 h, in der man sich neben dem Gang durch die Einreisekontrolle (ESTA vorab für 42$ obligatorisch) dann sein Gepäck am Band abholen muss, um es etwa 20m weiter noch mal wieder aufzugeben (wohlgemerkt dieselbe Airline, für beide Flüge eingecheckt u. Bordkarten in San Jose ausgehändigt.) Jede andere Airline schafft es, bei internationalen Anschlussflügen das Gepäck durchzuchecken, nur United scheinbar nicht. An Bord des 1. Flugs für 5 h keine Mahlzeit, auf dem 2. Flug ein qualitativ schlechtes Essen, das Entertainment-System mit Störungen bis zum Ausfall, was sie erst nach 3 h behoben bekommen. Die Sitze schlecht u. mit einer kaum neigbaren Rückenlehne. Im Flieger dazu frostig kalt, sodass alle Leute sich alles, was sie irgendwie zum Anziehen dabei haben, noch überziehen. Die Minidecken aus hauchdünnem Stoff helfen auch nur wenig.
Wir fliegen regelmäßig seit gut 45 Jahren, aber da ist jeder Low-Cost-Carrier wir z.B. Ryanair noch Gold gegen.
Unbegreiflich, dass Lufthansa mit United so eng kooperiert. => Wenn‘s irgend geht besser eine andere Airline nehmen.",1.0,,,Singapore Airlines,,,,
2,bB0seP7h,,"Absolut kein Verständnis dafür, dass Lufthansa mit so einem Partner wie united arbeitet. Die Sitze unterirdisch, mein entertainment System funktionierte nicht. Das Personal weit weg von freundlich, dass Essen ungenießbar. Dazu mal wieder Bus boarding. Usw, usw. Lufthansa ist ja auch nur ok(nicht mehr) aber mit united fliege ich so schnell nicht mehr.",1.0,,,Singapore Airlines,,,,
3,sSMn6Yly,,"United Airlines hat uns wieder einmal sehr gut befördert. Die Economy Class ist in keiner Maschine, bei keiner Airline ein echtes Geschenk aber es war alles in Ordnung! Unsere Sondermahlzeiten waren super und das Personal sehr freundlich aber inzwischen sehr leger gekleidet und frisiert.
Was mich wirklich gestört hat war das neue Fenster-System des Dreamliners. Wenn man nicht am Fenster sitzt, ist man verloren. Direkt nach dem Service, wenn alle abgefüttert sind, wird die Kabine auf Dunkel gestellt und wer nicht am Fenster sitzt, kann keine hellere Stufe einstellen, das war extrem anstrengend. Nicht immer kann man schlafen, nicht jeder möchte stundenlang Filme schauen. Ich hätte gerne raus geguckt oder zumindest gelesen, was mit mit der winzigen, schwachen Sitzplatzleuchte nicht möglich war. Das war wirklich unangenehm, auch schon auf dem Hinflug von MUC nach DEN.
Zudem bemängele ich, dass es nicht genügend Platz zum Verstauen von Handgepäck über den Sitzplätzen gibt.",4.0,,,Singapore Airlines,,,,
4,Hye3ZaTv,,Das Personal am Flughafen ist brutal unfreundlich und droht bei einfachen Fragen direkt mit der Security - ein absolutes no Go!,1.0,,,Singapore Airlines,,,,
5,6YEurwnY,,"Das Buchungssystem über United Airline Web hat unsere Vornamen verwechselt, und der Kundendienst von United Airline hat nicht richtig korrigiert. Unser Ticket wurde eine Stunde vor dem Abflug unseres Hinfluges gesperrt. General die Mitarbeiter von United Airline glauben nicht, dass ein Fehler bei den Vornamen den Check-in und die Flugsicherheitspassagen blockieren können, weshalb sie die Korrekturen nicht vornehmen. Dies führte dazu, dass wir unsere Flüge blockieren mussten und beim Check-in großen Stress verursachten. Glücklicherweise kontaktierte das Flughafenpersonal beim Check-in die United Air Line, um sie zu zwingen, die Korrekturen vorzunehmen. Wenn Ihnen das selbe passiert, planen Sie, vier Stunden vor dem Abflug zu erscheinen, da es eine lange Wartezeit gibt, bis die Mitarbeiter von united air line verfügbar sind. ich würde nie wieder ein Flugticket bei united kaufen.",1.0,,,Singapore Airlines,,,,
6,zEPMuLRV,,"Angefangen vom Buchungsvorgang bis zur Durchführung des Fluges war alles top organisiert und professionell begleitet. Freundlicher Service an Board, übersichtliche App für das Verwalten des Fluges inkl. Check in.",5.0,,,Singapore Airlines,,,,
7,cmA1JMRb,,"Am 28.06. startete der Flug UA961 mit 6 Std. Verspaetung nach Newark(EWR). Der Anschlussflug UA2033 nach Fort Myers (RSW) war mittlerweile gestrichen worden. Nach 3 Stunden am Transferdesk im Terminal B dann die Aussage, es sei ein Flug am Wochenende moeglich. Erst auf massiven Druck und Verweis auf die Passagierrechte der EU gab es einen Transfer, Essensgutscheine und ein Hotel. Man setzte uns fuer den 29.06. auf die Standby-Liste. Die Fluege an diesem Tag waren dann entweder ausgebucht oder wurden ebenfalls gestrichen. Nach erneut deutlichen Worten gab es wieder Transfer, Essen und Hotel sowie zwei Plaetze auf UA2033 am 30.06. Die Maschine war wegen Pilotenmangels zunaechst um Stunden verspaetet. Nach dem Ablegen machte United auf dem Rollfeld wieder kehrt und wartete 2 Stunden auf ein freies Gate. Die maximale Arbeitszeit des Piloten war erreicht. Wieder ueber 2 Stunden am Serviceschalter und einer Buchung fuer den 02.07. nach Miami (MIA). Nach einer Hotelnacht wurden weitere Leistungen verweigert. Die Erstattung der Mietwagenkosten nach RSW laesst nach Wochen auf sich warten. Die in der Presse gross angekuendigten 30.000 Bonusmeilen als Entschuldigung fuer Flugstreichungen und den Aerger in der letzten Juniwoche haben wir nicht erhalten. Dass auf dem Rueckflug von EWR nach FRA in der Premium Plus der Service und die Laune der Flugbegleiter unterirdisch war, wundert mich nicht. United kann ich, nach vielen Jahren mit 3-4 Fluegen jaehrlich American und Delta, absolut nicht empfehlen.",1.0,,,Singapore Airlines,,,,
8,bUft8By3,,"Nachdem wir erst nach gut 4 Stunden Verspätung in Frankfurt starten konnten (weil das Catering nicht bereit war…) nahm das Unheil seinen Lauf. Während andere Fluglinien weiter in Newark landeten wurden wir aufgrund eines Gewitters nach Washington umgeleitet – gut 6 Stunden später als unsere planmäßige Ankunftszeit in Newark. Nachdem wir in Washington weitere 3 Stunden am völlig überlasteten Serviceschalter von United angestanden hatten (es war mittlerweile 23:30 Uhr Ortszeit) wurde uns mitgeteilt, dass der Weiterflug erst am kommenden morgen um 9 Uhr möglich sei. Ein Hotel für die Zwischenübernachtung können man uns aufgrund Server-Probleme leider auch nicht buchen - aber wir bekamen feierlich ein Formular überreicht mit dem wir die Hotelkosten später zur Erstattung einreichen könnten (Memo: Dies haben wir in der Zwischenzeit getan und trotz mehrfachem schriftlichen nachfassen nie eine Antwort von United bekommen – auf eine Erstattung warten wir bis heute). Als es am nächsten Morgen zum Boarding gehen sollte wurde uns plötzlich mitgeteilt das leider keine Crew verfügbar ist und sich der Flug leider um 5 Stunden auf 14 Uhr verschieben würde. Um 14 Uhr wurden dann tatsächlich geboardet – aber noch lange nicht geflogen. Nachdem alle Passagiere an Bord waren wurde uns mitgeteilt, dass es leider kein Catering geben würde. 20 Minuten später kam dann die Durchsage das sich der Abflug weiter verzögern wird. Nachdem wir weitere 4 Stunden auf dem Rollfeld auf dem Rollfeld festgehalten wurden ist das Flugzeug dann tatsächlich gestartet und wir sind dann mit gut 32 Stunden Verspätung in Newark gelandet. Am Kofferband in Newark mussten wir dann feststellen das von unseren drei Koffern nur einer angekommen war. Wir wurden vom völlig überforderten und unfreundlichen United Personal gebeten am nächsten Tag wiederzukommen. Nachdem wir uns am nächsten Tag weitere 6 Stunden an den völlig unterbesetzten Serviceschalter von United angestellt hatten bekamen wir einen weiteren Koffer ausgehändigt – natürlich ohne jegliche Entschuldigung. Der dritte Koffer ist dann erst nach unserem USA Urlaub wieder aufgetaucht und an unsere Heimatadresse geschickt. Fazit: Nie wieder United Airlines",1.0,,,Singapore Airlines,,,,
9,G7rvNV7a,,"Wegen Unwetter wurde unser Flug von Newark nach Washington umgeleitet. Anstelle der geplanten Landung um 13.45 Uhr waren wir nach Immigration, Koffer abholen und stundenlangem Warten am Schalter um 23 Uhr an der Reihe. Eine Umbuchung war für den Folgetag 10:10 geplant. Eine Hotelübernachtung konnte man uns allerdings für 2 Erwachsene und 2 minderjährige Kinder nicht buchen. Das sollten wir auf eigene Faust machen und die Erstattung später erhalten.
Faktisch ist der Flieger am Folgetag erst um 19.15 Uhr wegen fehlendem Piloten!!! gestartet. Mit über 32 Stunden Verspätung sind wir in Newark gelandet mit dem Erfolg, dass unser Gepäck nicht in Newark ankam. Ein Gepäckstück konnten wir am Folgetag nach stundenlangem warten erhalten, ein weiteres wurde uns nach dem Urlaub (3Wochen) an die Heimatadresse zugestellt. Eines ist bis heute verschollen. Unsere Reklamationen beantwortet ein Call Center mit Standard Antworten und Floskeln, dass es ihnen leid tut. Eine Erstattung der Hotelübernachtung haben wir bis heute nicht erhalten. Das ist eine Unverschämtheit!!!",1.0,,,Singapore Airlines,,,,
10,JnQbfS6d,,"Der Hinflug wurde von United Airlines aufgeteilt (Wir haben nur bei United gebucht!). Flug von Zürich nach London mit Swiss und dann von London Heathrow nach Los Angeles. Mein Gepäckstück befand sich nach Ankunft in Los Angeles immer noch in London, das meiner Frau in Zürich. Am Flughafen Los Angeles konnte uns keiner sagen, wann das Gepäck ankommt.

Wir kamen Donnerstag Abend (Ortszeit) an, am Samstag morgen um 04:15 Uhr wurde meine Tasche geliefert per Anruf, der Lieferservice würde vor dem Hotel stehen, keinerlei Benachrichtigung im Vorfeld.

Die Tasche meiner Frau wurde uns per Agent von United für Sonntag Abend abholbereit am Flughafen gemeldet. Die Dame an der Gepäckausgabe hatte keinerlei Info über das Gepäckstück trotz Fallnummer und Gepäck-ID. Per Zufall hat meine Frau Ihre Tasche auf dem Förderband gesehen, sonst wären wir wieder davongefahren und hätten einen weiteren Urlaubstag verloren.

Die Betreuung von United war unterste Schublade. Der Kunde steht hier definitiv nicht im Vordergrund. Auf dem Rückflug wurde dann noch eine Tasche von uns beschädigt. trotz ausgefülltem Formular am Flughafen Zürich, habe ich bis heute nichts von United Airlines gehört. Das ist wirklich eine schwache Leistung!",1.0,,,Singapore Airlines,,,,
11,YgYYi3Su,,"In Berlin drei Stunden Verspätung, in Washington 3 Stunden Rollfeld, zwei Stunden Sicherheitskontrolle, Anschlussflug verpasst. Keiner, wirklich keiner vom Bodenpersonal konnte oder wollte helfen. Kein Voucher fürs Hotel, Schlange zu lang, Voucher alle. Am nächsten Morgen wieder verspätet gestartet. . . United nie wieder",2.0,,,Singapore Airlines,,,,
12,PkjWoolM,,"Selten so einen tollen Service auf der Kurzstrecke erlebt! Flugbegleiter waren super freundlich, haben mehrmals Snacks und Getränke angeboten, neues Flugzeug mit Bildschirmen für jeden :) ( Ich hatte letztes Jahr um die gleiche Zeit denselben Flug, hier gab es noch eine ältere Maschine ohne Bildschirme für die Passagiere, hier hat United demnach also nachgebessert:) An den Piloten gibt es auch nichts auszusetzen :-)",5.0,,,Singapore Airlines,,,,
13,WTqSEWjl,,"Ich habe mein Gepäck 5 Tage nach Ankunft erhalten und wir mussten den Urlaub komplett umplanen da wir eigentlich ein Road Trip geplant hatten, ich mein Gepäck dann aber nie erhalten hätte. Zusätzlich zu den Umbuchungsgebühren und den versauten Urkaub musste ich 400$ investieren für Kleidung, Hygieneartikel und co und habe keinen Cent von der Fluggesellschaft erhalten. NIE WIEDER UNITED!!!!",1.0,,,Singapore Airlines,,,,
